X,Y,Z,Norm,R_Cell
-10.77,-4.62,-7.35,8.81,1
-8.77,-4.62,-7.35,8.696,1
-11.77,-2.89,-7.35,8.284,1
-9.77,-2.89,-7.35,7.914,1
-7.77,-2.89,-7.35,8.039,1
-5.77,-2.89,-7.35,8.639,1
-12.77,-1.15,-7.35,8.222,1
-10.77,-1.15,-7.35,7.589,1
-8.77,-1.15,-7.35,7.456,1
-6.77,-1.15,-7.35,7.848,1
-4.77,-1.15,-7.35,8.695,1
-13.77,0.58,-7.35,8.638,1
-11.77,0.58,-7.35,7.785,1
-9.77,0.58,-7.35,7.39,1
-7.77,0.58,-7.35,7.524,1
-5.77,0.58,-7.35,8.161,1
-12.77,2.31,-7.35,8.462,1
-10.77,2.31,-7.35,7.849,1
-8.77,2.31,-7.35,7.721,1
-6.77,2.31,-7.35,8.1,1
-4.77,2.31,-7.35,8.922,1
-11.77,4.04,-7.35,8.752,1
-9.77,4.04,-7.35,8.402,1
-7.77,4.04,-7.35,8.52,1
-12.77,-5.77,-5.72,8.847,1
-10.77,-5.77,-5.72,8.262,1
-8.77,-5.77,-5.72,8.14,1
-6.77,-5.77,-5.72,8.501,1
-13.77,-4.04,-5.72,8.324,1
-11.77,-4.04,-5.72,7.436,1
-9.77,-4.04,-5.72,7.021,1
-7.77,-4.04,-5.72,7.162,1
-5.77,-4.04,-5.72,7.829,1
-3.77,-4.04,-5.72,8.904,1
-14.77,-2.31,-5.72,8.265,1
-12.77,-2.31,-5.72,7.093,1
-10.77,-2.31,-5.72,6.349,1
-8.77,-2.31,-5.72,6.189,1
-6.77,-2.31,-5.72,6.656,1
-4.77,-2.31,-5.72,7.636,1
-2.77,-2.31,-5.72,8.961,1
-15.77,-0.58,-5.72,8.678,1
-13.77,-0.58,-5.72,7.301,1
-11.77,-0.58,-5.72,6.269,1
-9.77,-0.58,-5.72,5.771,1
-7.77,-0.58,-5.72,5.942,1
-5.77,-0.58,-5.72,6.731,1
-3.77,-0.58,-5.72,7.956,1
-14.77,1.15,-5.72,8.018,1
-12.77,1.15,-5.72,6.804,1
-10.77,1.15,-5.72,6.024,1
-8.77,1.15,-5.72,5.856,1
-6.77,1.15,-5.72,6.348,1
-4.77,1.15,-5.72,7.368,1
-2.77,1.15,-5.72,8.734,1
-13.77,2.89,-5.72,7.831,1
-11.77,2.89,-5.72,6.879,1
-9.77,2.89,-5.72,6.428,1
-7.77,2.89,-5.72,6.582,1
-5.77,2.89,-5.72,7.302,1
-3.77,2.89,-5.72,8.445,1
-12.77,4.62,-5.72,8.143,1
-10.77,4.62,-5.72,7.504,1
-8.77,4.62,-5.72,7.37,1
-6.77,4.62,-5.72,7.766,1
-4.77,4.62,-5.72,8.62,1
-11.77,6.35,-5.72,8.905,1
-9.77,6.35,-5.72,8.561,1
-7.77,6.35,-5.72,8.677,1
-13.77,-6.35,-4.08,8.787,1
-11.77,-6.35,-4.08,7.951,1
-9.77,-6.35,-4.08,7.564,1
-7.77,-6.35,-4.08,7.695,1
-5.77,-6.35,-4.08,8.32,1
-14.77,-4.62,-4.08,8.261,1
-12.77,-4.62,-4.08,7.088,1
-10.77,-4.62,-4.08,6.344,1
-8.77,-4.62,-4.08,6.184,1
-6.77,-4.62,-4.08,6.651,1
-4.77,-4.62,-4.08,7.632,1
-2.77,-4.62,-4.08,8.958,1
-15.77,-2.89,-4.08,8.201,1
-13.77,-2.89,-4.08,6.727,1
-11.77,-2.89,-4.08,5.59,1
-9.77,-2.89,-4.08,5.025,1
-7.77,-2.89,-4.08,5.22,1
-5.77,-2.89,-4.08,6.103,1
-3.77,-2.89,-4.08,7.433,1
-16.77,-1.15,-4.08,8.615,1
-14.77,-1.15,-4.08,6.944,1
-12.77,-1.15,-4.08,5.497,1
-10.77,-1.15,-4.08,4.497,1
-8.77,-1.15,-4.08,4.268,1
-6.77,-1.15,-4.08,4.921,1
-4.77,-1.15,-4.08,6.182,1
-2.77,-1.15,-4.08,7.76,1
-15.77,0.58,-4.08,7.696,1
-13.77,0.58,-4.08,6.102,1
-11.77,0.58,-4.08,4.82,1
-9.77,0.58,-4.08,4.151,1
-7.77,0.58,-4.08,4.386,1
-5.77,0.58,-4.08,5.407,1
-3.77,0.58,-4.08,6.873,1
-1.77,0.58,-4.08,8.558,1
-16.77,2.31,-4.08,8.845,1
-14.77,2.31,-4.08,7.227,1
-12.77,2.31,-4.08,5.851,1
-10.77,2.31,-4.08,4.923,1
-8.77,2.31,-4.08,4.715,1
-6.77,2.31,-4.08,5.313,1
-4.77,2.31,-4.08,6.499,1
-2.77,2.31,-4.08,8.015,1
-15.77,4.04,-4.08,8.673,1
-13.77,4.04,-4.08,7.295,1
-11.77,4.04,-4.08,6.262,1
-9.77,4.04,-4.08,5.764,1
-7.77,4.04,-4.08,5.934,1
-5.77,4.04,-4.08,6.724,1
-3.77,4.04,-4.08,7.951,1
-14.77,5.77,-4.08,8.955,1
-12.77,5.77,-4.08,7.886,1
-10.77,5.77,-4.08,7.224,1
-8.77,5.77,-4.08,7.084,1
-6.77,5.77,-4.08,7.496,1
-4.77,5.77,-4.08,8.378,1
-11.77,7.51,-4.08,8.905,1
-9.77,7.51,-4.08,8.561,1
-7.77,7.51,-4.08,8.677,1
-11.77,-7.51,-2.45,8.286,1
-9.77,-7.51,-2.45,7.915,1
-7.77,-7.51,-2.45,8.041,1
-5.77,-7.51,-2.45,8.64,1
-14.77,-5.77,-2.45,8.339,1
-12.77,-5.77,-2.45,7.18,1
-10.77,-5.77,-2.45,6.446,1
-8.77,-5.77,-2.45,6.289,1
-6.77,-5.77,-2.45,6.749,1
-4.77,-5.77,-2.45,7.717,1
-15.77,-4.04,-2.45,8.036,1
-13.77,-4.04,-2.45,6.525,1
-11.77,-4.04,-2.45,5.345,1
-9.77,-4.04,-2.45,4.751,1
-7.77,-4.04,-2.45,4.957,1
-5.77,-4.04,-2.45,5.88,1
-3.77,-4.04,-2.45,7.251,1
-1.77,-4.04,-2.45,8.864,1
-16.77,-2.31,-2.45,8.221,1
-14.77,-2.31,-2.45,6.449,1
-12.77,-2.31,-2.45,4.857,1
-10.77,-2.31,-2.45,3.686,1
