X,Y,Z,Norm,R_Cell
-15.92,-0.58,-13.88,13.973,1
-13.92,-0.58,-13.88,13.901,1
-14.92,1.15,-13.88,13.937,1
-15.92,-6.35,-12.25,13.879,1
-13.92,-6.35,-12.25,13.807,1
-18.92,-4.62,-12.25,13.844,1
-16.92,-4.62,-12.25,13.329,1
-14.92,-4.62,-12.25,13.102,1
-12.92,-4.62,-12.25,13.178,1
-10.92,-4.62,-12.25,13.552,1
-19.92,-2.89,-12.25,13.736,1
-17.92,-2.89,-12.25,13.064,1
-15.92,-2.89,-12.25,12.675,1
-13.92,-2.89,-12.25,12.596,1
-11.92,-2.89,-12.25,12.832,1
-9.92,-2.89,-12.25,13.367,1
-20.92,-1.15,-12.25,13.915,1
-18.92,-1.15,-12.25,13.101,1
-16.92,-1.15,-12.25,12.555,1
-14.92,-1.15,-12.25,12.314,1
-12.92,-1.15,-12.25,12.395,1
-10.92,-1.15,-12.25,12.792,1
-8.92,-1.15,-12.25,13.477,1
-19.92,0.58,-12.25,13.441,1
-17.92,0.58,-12.25,12.753,1
-15.92,0.58,-12.25,12.355,1
-13.92,0.58,-12.25,12.274,1
-11.92,0.58,-12.25,12.516,1
-9.92,0.58,-12.25,13.063,1
-7.92,0.58,-12.25,13.88,1
-18.92,2.31,-12.25,13.253,1
-16.92,2.31,-12.25,12.714,1
-14.92,2.31,-12.25,12.476,1
-12.92,2.31,-12.25,12.556,1
-10.92,2.31,-12.25,12.948,1
-8.92,2.31,-12.25,13.625,1
-17.92,4.04,-12.25,13.365,1
-15.92,4.04,-12.25,12.986,1
-13.92,4.04,-12.25,12.909,1
-11.92,4.04,-12.25,13.139,1
-9.92,4.04,-12.25,13.661,1
-16.92,5.77,-12.25,13.77,1
-14.92,5.77,-12.25,13.55,1
-12.92,5.77,-12.25,13.624,1
-10.92,5.77,-12.25,13.986,1
-17.92,-7.51,-10.61,13.462,1
-15.92,-7.51,-10.61,13.085,1
-13.92,-7.51,-10.61,13.009,1
-11.92,-7.51,-10.61,13.237,1
-9.92,-7.51,-10.61,13.756,1
-20.92,-5.77,-10.61,13.716,1
-18.92,-5.77,-10.61,12.889,1
-16.92,-5.77,-10.61,12.333,1
-14.92,-5.77,-10.61,12.088,1
-12.92,-5.77,-10.61,12.17,1
-10.92,-5.77,-10.61,12.574,1
-8.92,-5.77,-10.61,13.271,1
-21.92,-4.04,-10.61,13.607,1
-19.92,-4.04,-10.61,12.615,1
-17.92,-4.04,-10.61,11.88,1
-15.92,-4.04,-10.61,11.452,1
-13.92,-4.04,-10.61,11.364,1
-11.92,-4.04,-10.61,11.625,1
-9.92,-4.04,-10.61,12.212,1
-7.92,-4.04,-10.61,13.082,1
-22.92,-2.31,-10.61,13.79,1
-20.92,-2.31,-10.61,12.655,1
-18.92,-2.31,-10.61,11.754,1
-16.92,-2.31,-10.61,11.143,1
-14.92,-2.31,-10.61,10.87,1
-12.92,-2.31,-10.61,10.962,1
-10.92,-2.31,-10.61,11.409,1
-8.92,-2.31,-10.61,12.172,1
-6.92,-2.31,-10.61,13.197,1
-21.92,-0.58,-10.61,13.006,1
-19.92,-0.58,-10.61,11.965,1
-17.92,-0.58,-10.61,11.187,1
-15.92,-0.58,-10.61,10.731,1
-13.92,-0.58,-10.61,10.638,1
-11.92,-0.58,-10.61,10.916,1
-9.92,-0.58,-10.61,11.539,1
-7.92,-0.58,-10.61,12.456,1
-5.92,-0.58,-10.61,13.607,1
-22.92,1.15,-10.61,13.643,1
-20.92,1.15,-10.61,12.496,1
-18.92,1.15,-10.61,11.582,1
-16.92,1.15,-10.61,10.961,1
-14.92,1.15,-10.61,10.684,1
-12.92,1.15,-10.61,10.777,1
-10.92,1.15,-10.61,11.231,1
-8.92,1.15,-10.61,12.006,1
-6.92,1.15,-10.61,13.044,1
