X,Y,Z,Norm,R_Cell
-3.59,-0.58,-2.45,2.567,1
-1.59,-0.58,-2.45,2.931,1
-2.59,1.15,-2.45,2.752,1
-4.59,-1.15,-0.82,2.06,1
-2.59,-1.15,-0.82,1.498,1
-0.59,-1.15,-0.82,2.871,1
-5.59,0.58,-0.82,2.694,1
-3.59,0.58,-0.82,1.122,1
-1.59,0.58,-0.82,1.805,1
-4.59,2.31,-0.82,2.874,1
-2.59,2.31,-0.82,2.502,1
-4.59,-2.31,0.82,2.874,1
-2.59,-2.31,0.82,2.502,1
-5.59,-0.58,0.82,2.694,1
-3.59,-0.58,0.82,1.122,1
-1.59,-0.58,0.82,1.805,1
-4.59,1.15,0.82,2.06,1
-2.59,1.15,0.82,1.498,1
-0.59,1.15,0.82,2.871,1
-2.59,-1.15,2.45,2.752,1
-3.59,0.58,2.45,2.567,1
-1.59,0.58,2.45,2.931,1
2.59,-0.58,-2.45,2.567,1
4.59,-0.58,-2.45,2.931,1
3.59,1.15,-2.45,2.752,1
1.59,-1.15,-0.82,2.06,1
3.59,-1.15,-0.82,1.498,1
5.59,-1.15,-0.82,2.871,1
0.59,0.58,-0.82,2.694,1
2.59,0.58,-0.82,1.122,1
4.59,0.58,-0.82,1.805,1
1.59,2.31,-0.82,2.874,1
3.59,2.31,-0.82,2.502,1
1.59,-2.31,0.82,2.874,1
3.59,-2.31,0.82,2.502,1
0.59,-0.58,0.82,2.694,1
2.59,-0.58,0.82,1.122,1
4.59,-0.58,0.82,1.805,1
1.59,1.15,0.82,2.06,1
3.59,1.15,0.82,1.498,1
5.59,1.15,0.82,2.871,1
3.59,-1.15,2.45,2.752,1
2.59,0.58,2.45,2.567,1
4.59,0.58,2.45,2.931,1
