0.5	-2.89	-2.45
-2.5	-1.15	-2.45
-0.5	-1.15	-2.45
1.5	-1.15	-2.45
-1.5	0.58	-2.45
0.5	0.58	-2.45
2.5	0.58	-2.45
-0.5	2.31	-2.45
1.5	2.31	-2.45
-2.5	-2.31	-0.82
-0.5	-2.31	-0.82
1.5	-2.31	-0.82
-3.5	-0.58	-0.82
-1.5	-0.58	-0.82
0.5	-0.58	-0.82
2.5	-0.58	-0.82
-2.5	1.15	-0.82
-0.5	1.15	-0.82
1.5	1.15	-0.82
3.5	1.15	-0.82
-1.5	2.89	-0.82
0.5	2.89	-0.82
2.5	2.89	-0.82
-1.5	-2.89	0.82
0.5	-2.89	0.82
2.5	-2.89	0.82
-2.5	-1.15	0.82
-0.5	-1.15	0.82
1.5	-1.15	0.82
3.5	-1.15	0.82
-3.5	0.58	0.82
-1.5	0.58	0.82
0.5	0.58	0.82
2.5	0.58	0.82
-2.5	2.31	0.82
-0.5	2.31	0.82
1.5	2.31	0.82
-0.5	-2.31	2.45
1.5	-2.31	2.45
-1.5	-0.58	2.45
0.5	-0.58	2.45
2.5	-0.58	2.45
-2.5	1.15	2.45
-0.5	1.15	2.45
1.5	1.15	2.45
0.5	2.89	2.45
